User_ID,Num_Bets,Bet_Amount,Odds,Implied_Probabilities,Outcomes,Payout,Profit
2,4,372.75,[-450 -500 -200 -120],"[0.8181818181818182, 0.8333333333333334, 0.6666666666666666, 0.5454545454545454]","['Win', 'Win', 'Win', 'Win']",1863.75,1491.0
88,5,387.31,[110 500 300 110 500],"[0.47619047619047616, 0.16666666666666666, 0.25, 0.47619047619047616, 0.16666666666666666]","['Win', 'Loss', 'Loss', 'Win', 'Loss']",0.0,-387.31
30,4,484.82,[-105 -105 -450  115],"[0.5121951219512195, 0.5121951219512195, 0.8181818181818182, 0.46511627906976744]","['Win', 'Loss', 'Win', 'Loss']",0.0,-484.82
38,3,388.97,[ 100  180 -450],"[0.5, 0.35714285714285715, 0.8181818181818182]","['Win', 'Win', 'Win']",875.1825000000001,486.2125000000001
2,2,129.24,[110 100],"[0.47619047619047616, 0.5]","['Loss', 'Loss']",0.0,-129.24
64,6,29.66,[ 180  500 -400  180 -120  180],"[0.35714285714285715, 0.16666666666666666, 0.8, 0.35714285714285715, 0.5454545454545454, 0.35714285714285715]","['Loss', 'Loss', 'Win', 'Loss', 'Win', 'Win']",0.0,-29.66
60,3,492.86,[400 100 110],"[0.2, 0.5, 0.47619047619047616]","['Loss', 'Loss', 'Win']",0.0,-492.86
21,2,176.82,[-450 -105],"[0.8181818181818182, 0.5121951219512195]","['Win', 'Win']",0.0,-176.82
33,3,162.87,[-200  180  180],"[0.6666666666666666, 0.35714285714285715, 0.35714285714285715]","['Loss', 'Win', 'Loss']",0.0,-162.87
76,5,453.92,[-120 -500 -150 -120 -150],"[0.5454545454545454, 0.8333333333333334, 0.6, 0.5454545454545454, 0.6]","['Win', 'Win', 'Win', 'Win', 'Win']",4539.2,4085.2799999999997
58,4,296.7,[-450  105 -500  115],"[0.8181818181818182, 0.4878048780487805, 0.8333333333333334, 0.46511627906976744]","['Win', 'Win', 'Win', 'Loss']",445.04999999999995,148.34999999999997
22,3,115.29,[-200 -500 -120],"[0.6666666666666666, 0.8333333333333334, 0.5454545454545454]","['Loss', 'Win', 'Win']",144.1125,28.822500000000005
89,2,445.66,[-105 -105],"[0.5121951219512195, 0.5121951219512195]","['Loss', 'Win']",0.0,-445.66
49,5,496.75,[400 300 115 300 100],"[0.2, 0.25, 0.46511627906976744, 0.25, 0.5]","['Loss', 'Loss', 'Win', 'Loss', 'Loss']",0.0,-496.75
91,6,52.47,[-450 -105 -500 -150 -500 -200],"[0.8181818181818182, 0.5121951219512195, 0.8333333333333334, 0.6, 0.8333333333333334, 0.6666666666666666]","['Win', 'Loss', 'Win', 'Loss', 'Win', 'Win']",20.988,-31.482
59,5,432.5,[-500  300  115 -450 -120],"[0.8333333333333334, 0.25, 0.46511627906976744, 0.8181818181818182, 0.5454545454545454]","['Loss', 'Loss', 'Win', 'Win', 'Win']",173.0,-259.5
42,4,201.35,[ 115 -105  105  300],"[0.46511627906976744, 0.5121951219512195, 0.4878048780487805, 0.25]","['Win', 'Loss', 'Loss', 'Loss']",0.0,-201.35
92,5,266.8,[-200 -400 -200 -450 -105],"[0.6666666666666666, 0.8, 0.6666666666666666, 0.8181818181818182, 0.5121951219512195]","['Win', 'Loss', 'Win', 'Win', 'Win']",533.6,266.8
60,6,458.26,[110 100 220 180 400 220],"[0.47619047619047616, 0.5, 0.3125, 0.35714285714285715, 0.2, 0.3125]","['Loss', 'Loss', 'Win', 'Loss', 'Loss', 'Loss']",0.0,-458.26
80,2,486.96,[110 110],"[0.47619047619047616, 0.47619047619047616]","['Loss', 'Loss']",0.0,-486.96
15,3,138.46,[ 180  115 -450],"[0.35714285714285715, 0.46511627906976744, 0.8181818181818182]","['Loss', 'Win', 'Win']",173.07500000000002,34.61500000000001
62,4,114.3,[180 400 100 400],"[0.35714285714285715, 0.2, 0.5, 0.2]","['Win', 'Loss', 'Loss', 'Loss']",0.0,-114.3
62,6,49.45,[ 220  400  110  300  500 -150],"[0.3125, 0.2, 0.47619047619047616, 0.25, 0.16666666666666666, 0.6]","['Loss', 'Loss', 'Win', 'Loss', 'Loss', 'Loss']",0.0,-49.45
47,4,285.28,[ 110  100 -400 -200],"[0.47619047619047616, 0.5, 0.8, 0.6666666666666666]","['Loss', 'Loss', 'Win', 'Loss']",0.0,-285.28
62,5,16.67,[ 300  500 -105 -150  180],"[0.25, 0.16666666666666666, 0.5121951219512195, 0.6, 0.35714285714285715]","['Loss', 'Loss', 'Loss', 'Win', 'Win']",0.0,-16.67
51,4,211.83,[-150 -150  220  220],"[0.6, 0.6, 0.3125, 0.3125]","['Win', 'Loss', 'Loss', 'Loss']",0.0,-211.83
55,6,45.96,[220 400 400 180 110 105],"[0.3125, 0.2, 0.2, 0.35714285714285715, 0.47619047619047616, 0.4878048780487805]","['Loss', 'Win', 'Loss', 'Loss', 'Loss', 'Loss']",0.0,-45.96
64,3,208.56,[300 180 180],"[0.25, 0.35714285714285715, 0.35714285714285715]","['Loss', 'Win', 'Win']",260.7,52.139999999999986
3,3,29.57,[ 110 -120 -105],"[0.47619047619047616, 0.5454545454545454, 0.5121951219512195]","['Loss', 'Loss', 'Loss']",0.0,-29.57
51,4,419.26,[ 180  400  100 -150],"[0.35714285714285715, 0.2, 0.5, 0.6]","['Loss', 'Loss', 'Win', 'Win']",0.0,-419.26
7,2,112.77,[500 180],"[0.16666666666666666, 0.35714285714285715]","['Loss', 'Loss']",0.0,-112.77
21,4,170.87,[ 400 -200  400  105],"[0.2, 0.6666666666666666, 0.2, 0.4878048780487805]","['Loss', 'Win', 'Loss', 'Win']",0.0,-170.87
73,5,436.32,[-150 -400 -150  105  220],"[0.6, 0.8, 0.6, 0.4878048780487805, 0.3125]","['Loss', 'Win', 'Loss', 'Loss', 'Loss']",0.0,-436.32
39,3,375.67,[400 100 180],"[0.2, 0.5, 0.35714285714285715]","['Loss', 'Win', 'Win']",469.58750000000003,93.91750000000002
18,3,117.33,[220 110 220],"[0.3125, 0.47619047619047616, 0.3125]","['Loss', 'Loss', 'Loss']",0.0,-117.33
4,3,45.23,[-120 -105 -120],"[0.5454545454545454, 0.5121951219512195, 0.5454545454545454]","['Loss', 'Win', 'Loss']",0.0,-45.23
89,2,360.68,[ 300 -200],"[0.25, 0.6666666666666666]","['Loss', 'Loss']",0.0,-360.68
60,2,201.44,[105 500],"[0.4878048780487805, 0.16666666666666666]","['Loss', 'Loss']",0.0,-201.44
14,6,385.38,[105 110 300 105 100 500],"[0.4878048780487805, 0.47619047619047616, 0.25, 0.4878048780487805, 0.5, 0.16666666666666666]","['Win', 'Loss', 'Loss', 'Win', 'Win', 'Loss']",0.0,-385.38
9,4,228.19,[ 105  180  500 -400],"[0.4878048780487805, 0.35714285714285715, 0.16666666666666666, 0.8]","['Loss', 'Win', 'Loss', 'Win']",0.0,-228.19
90,4,179.54,[ 180 -400 -450  220],"[0.35714285714285715, 0.8, 0.8181818181818182, 0.3125]","['Loss', 'Win', 'Loss', 'Loss']",0.0,-179.54
53,5,231.09,[-400 -150  220  115 -150],"[0.8, 0.6, 0.3125, 0.46511627906976744, 0.6]","['Win', 'Win', 'Loss', 'Loss', 'Win']",92.436,-138.654
2,3,376.79,[110 100 220],"[0.47619047619047616, 0.5, 0.3125]","['Loss', 'Win', 'Loss']",0.0,-376.79
84,2,452.09,[-500 -150],"[0.8333333333333334, 0.6]","['Win', 'Win']",0.0,-452.09
92,5,34.39,[220 110 500 500 105],"[0.3125, 0.47619047619047616, 0.16666666666666666, 0.16666666666666666, 0.4878048780487805]","['Loss', 'Loss', 'Loss', 'Loss', 'Win']",0.0,-34.39
60,5,266.81,[-150 -150 -105 -450 -120],"[0.6, 0.6, 0.5121951219512195, 0.8181818181818182, 0.5454545454545454]","['Win', 'Win', 'Loss', 'Loss', 'Loss']",0.0,-266.81
71,2,26.09,[100 220],"[0.5, 0.3125]","['Loss', 'Win']",0.0,-26.09
44,4,239.52,[115 115 105 500],"[0.46511627906976744, 0.46511627906976744, 0.4878048780487805, 0.16666666666666666]","['Win', 'Win', 'Loss', 'Loss']",0.0,-239.52
8,3,443.79,[-400  105 -500],"[0.8, 0.4878048780487805, 0.8333333333333334]","['Win', 'Loss', 'Win']",554.7375000000001,110.94750000000005
47,4,187.18,[-150 -120 -450 -450],"[0.6, 0.5454545454545454, 0.8181818181818182, 0.8181818181818182]","['Win', 'Win', 'Loss', 'Loss']",0.0,-187.18
35,5,466.9,[-500 -150 -400 -105 -120],"[0.8333333333333334, 0.6, 0.8, 0.5121951219512195, 0.5454545454545454]","['Win', 'Loss', 'Win', 'Loss', 'Loss']",0.0,-466.9
78,3,319.0,[-120 -200 -450],"[0.5454545454545454, 0.6666666666666666, 0.8181818181818182]","['Loss', 'Win', 'Win']",398.75,79.75
81,6,467.74,[ 220 -120  105  220  220 -150],"[0.3125, 0.5454545454545454, 0.4878048780487805, 0.3125, 0.3125, 0.6]","['Win', 'Loss', 'Win', 'Win', 'Win', 'Win']",935.48,467.74
36,5,381.01,[-120  110  500 -120  300],"[0.5454545454545454, 0.47619047619047616, 0.16666666666666666, 0.5454545454545454, 0.25]","['Loss', 'Loss', 'Loss', 'Loss', 'Loss']",0.0,-381.01
50,4,60.68,[-120  100 -105 -500],"[0.5454545454545454, 0.5, 0.5121951219512195, 0.8333333333333334]","['Loss', 'Loss', 'Loss', 'Win']",0.0,-60.68
4,4,123.26,[-105 -450 -450 -150],"[0.5121951219512195, 0.8181818181818182, 0.8181818181818182, 0.6]","['Loss', 'Win', 'Win', 'Win']",184.89000000000001,61.63000000000001
2,4,203.14,[ 110  300  105 -105],"[0.47619047619047616, 0.25, 0.4878048780487805, 0.5121951219512195]","['Loss', 'Loss', 'Loss', 'Loss']",0.0,-203.14
6,2,93.35,[ 400 -450],"[0.2, 0.8181818181818182]","['Loss', 'Win']",0.0,-93.35
54,5,252.51,[110 500 220 500 500],"[0.47619047619047616, 0.16666666666666666, 0.3125, 0.16666666666666666, 0.16666666666666666]","['Loss', 'Loss', 'Loss', 'Win', 'Loss']",0.0,-252.51
4,3,240.97,[ 180  100 -450],"[0.35714285714285715, 0.5, 0.8181818181818182]","['Loss', 'Win', 'Win']",301.2125,60.24249999999998
54,4,478.57,[ 400 -400 -500  220],"[0.2, 0.8, 0.8333333333333334, 0.3125]","['Win', 'Win', 'Win', 'Loss']",717.855,239.28500000000003
93,4,222.53,[220 500 180 400],"[0.3125, 0.16666666666666666, 0.35714285714285715, 0.2]","['Win', 'Loss', 'Loss', 'Loss']",0.0,-222.53
63,2,394.96,[105 100],"[0.4878048780487805, 0.5]","['Loss', 'Win']",0.0,-394.96
18,3,471.54,[-150  220 -450],"[0.6, 0.3125, 0.8181818181818182]","['Win', 'Loss', 'Loss']",0.0,-471.54
90,5,439.72,[-120 -105 -400 -120 -120],"[0.5454545454545454, 0.5121951219512195, 0.8, 0.5454545454545454, 0.5454545454545454]","['Loss', 'Win', 'Win', 'Win', 'Loss']",175.88800000000003,-263.832
44,6,112.25,[-500 -200  500  400 -500  100],"[0.8333333333333334, 0.6666666666666666, 0.16666666666666666, 0.2, 0.8333333333333334, 0.5]","['Win', 'Loss', 'Loss', 'Loss', 'Win', 'Win']",0.0,-112.25
34,2,253.05,[-400  100],"[0.8, 0.5]","['Win', 'Win']",0.0,-253.05
74,5,180.39,[-105  220 -105 -120  400],"[0.5121951219512195, 0.3125, 0.5121951219512195, 0.5454545454545454, 0.2]","['Loss', 'Loss', 'Loss', 'Win', 'Loss']",0.0,-180.39
62,6,205.93,[-500 -500 -120 -500 -450 -105],"[0.8333333333333334, 0.8333333333333334, 0.5454545454545454, 0.8333333333333334, 0.8181818181818182, 0.5121951219512195]","['Win', 'Win', 'Loss', 'Win', 'Loss', 'Loss']",0.0,-205.93
100,4,186.8,[-400 -200 -105 -120],"[0.8, 0.6666666666666666, 0.5121951219512195, 0.5454545454545454]","['Win', 'Win', 'Loss', 'Loss']",0.0,-186.8
14,4,414.92,[-150 -400 -120 -150],"[0.6, 0.8, 0.5454545454545454, 0.6]","['Win', 'Win', 'Win', 'Loss']",622.38,207.45999999999998
95,3,231.55,[115 115 300],"[0.46511627906976744, 0.46511627906976744, 0.25]","['Win', 'Win', 'Loss']",289.4375,57.88749999999999
48,6,266.61,[-500 -105 -450 -200 -450 -120],"[0.8333333333333334, 0.5121951219512195, 0.8181818181818182, 0.6666666666666666, 0.8181818181818182, 0.5454545454545454]","['Win', 'Loss', 'Loss', 'Win', 'Win', 'Win']",106.644,-159.966
15,4,491.4,[-500 -450 -120 -120],"[0.8333333333333334, 0.8181818181818182, 0.5454545454545454, 0.5454545454545454]","['Win', 'Win', 'Loss', 'Loss']",0.0,-491.4
72,4,39.39,[-400 -150  500 -200],"[0.8, 0.6, 0.16666666666666666, 0.6666666666666666]","['Win', 'Loss', 'Loss', 'Win']",0.0,-39.39
78,3,249.1,[-150  110  180],"[0.6, 0.47619047619047616, 0.35714285714285715]","['Win', 'Loss', 'Win']",311.375,62.275000000000006
87,5,389.29,[-105 -200 -105 -450 -120],"[0.5121951219512195, 0.6666666666666666, 0.5121951219512195, 0.8181818181818182, 0.5454545454545454]","['Loss', 'Win', 'Win', 'Win', 'Loss']",155.716,-233.574
62,4,84.07,[180 180 115 300],"[0.35714285714285715, 0.35714285714285715, 0.46511627906976744, 0.25]","['Loss', 'Loss', 'Win', 'Loss']",0.0,-84.07
40,2,309.65,[ 110 -400],"[0.47619047619047616, 0.8]","['Loss', 'Win']",0.0,-309.65
85,2,127.34,[ 400 -200],"[0.2, 0.6666666666666666]","['Loss', 'Win']",0.0,-127.34
80,5,435.03,[-150 -500 -400 -400 -500],"[0.6, 0.8333333333333334, 0.8, 0.8, 0.8333333333333334]","['Win', 'Win', 'Loss', 'Loss', 'Win']",174.012,-261.018
82,6,170.28,[-500 -200 -500 -200 -105 -150],"[0.8333333333333334, 0.6666666666666666, 0.8333333333333334, 0.6666666666666666, 0.5121951219512195, 0.6]","['Win', 'Win', 'Win', 'Win', 'Loss', 'Loss']",68.11200000000001,-102.16799999999999
53,3,171.24,[ 300 -120 -500],"[0.25, 0.5454545454545454, 0.8333333333333334]","['Loss', 'Loss', 'Loss']",0.0,-171.24
24,2,303.12,[ 180 -150],"[0.35714285714285715, 0.6]","['Loss', 'Win']",0.0,-303.12
26,2,99.95,[180 110],"[0.35714285714285715, 0.47619047619047616]","['Loss', 'Loss']",0.0,-99.95
89,5,149.6,[ 300  100 -450  115 -500],"[0.25, 0.5, 0.8181818181818182, 0.46511627906976744, 0.8333333333333334]","['Loss', 'Win', 'Win', 'Loss', 'Loss']",0.0,-149.6
60,6,214.15,[-105 -400 -200 -450 -450 -120],"[0.5121951219512195, 0.8, 0.6666666666666666, 0.8181818181818182, 0.8181818181818182, 0.5454545454545454]","['Loss', 'Win', 'Win', 'Win', 'Win', 'Win']",428.3,214.15
41,6,183.28,[ 300  400 -150 -120 -500  400],"[0.25, 0.2, 0.6, 0.5454545454545454, 0.8333333333333334, 0.2]","['Win', 'Win', 'Win', 'Win', 'Win', 'Loss']",366.56,183.28
29,5,267.19,[ 300  105 -150  400  400],"[0.25, 0.4878048780487805, 0.6, 0.2, 0.2]","['Loss', 'Loss', 'Win', 'Loss', 'Win']",0.0,-267.19
15,2,303.82,[100 110],"[0.5, 0.47619047619047616]","['Win', 'Loss']",0.0,-303.82
45,3,287.67,[180 180 400],"[0.35714285714285715, 0.35714285714285715, 0.2]","['Win', 'Win', 'Loss']",359.58750000000003,71.91750000000002
65,2,330.54,[-400 -105],"[0.8, 0.5121951219512195]","['Win', 'Loss']",0.0,-330.54
89,6,160.8,[ 220 -120  110  115  110  110],"[0.3125, 0.5454545454545454, 0.47619047619047616, 0.46511627906976744, 0.47619047619047616, 0.47619047619047616]","['Win', 'Win', 'Win', 'Loss', 'Loss', 'Win']",64.32000000000001,-96.48
71,2,71.95,[110 105],"[0.47619047619047616, 0.4878048780487805]","['Win', 'Win']",0.0,-71.95
9,3,382.8,[-105  220  115],"[0.5121951219512195, 0.3125, 0.46511627906976744]","['Loss', 'Loss', 'Loss']",0.0,-382.8
88,4,426.88,[100 100 500 500],"[0.5, 0.5, 0.16666666666666666, 0.16666666666666666]","['Win', 'Loss', 'Loss', 'Loss']",0.0,-426.88
1,2,135.93,[115 110],"[0.46511627906976744, 0.47619047619047616]","['Win', 'Win']",0.0,-135.93
8,5,209.48,[500 115 115 100 105],"[0.16666666666666666, 0.46511627906976744, 0.46511627906976744, 0.5, 0.4878048780487805]","['Loss', 'Loss', 'Loss', 'Win', 'Win']",0.0,-209.48
88,4,254.3,[ 300 -400  220  500],"[0.25, 0.8, 0.3125, 0.16666666666666666]","['Loss', 'Win', 'Loss', 'Loss']",0.0,-254.3
63,5,271.33,[ 500 -200  100  400  105],"[0.16666666666666666, 0.6666666666666666, 0.5, 0.2, 0.4878048780487805]","['Loss', 'Win', 'Win', 'Win', 'Loss']",108.532,-162.798
11,5,333.15,[-500  500  300 -450 -500],"[0.8333333333333334, 0.16666666666666666, 0.25, 0.8181818181818182, 0.8333333333333334]","['Win', 'Loss', 'Loss', 'Win', 'Win']",133.26,-199.89
81,5,30.39,[400 180 180 180 180],"[0.2, 0.35714285714285715, 0.35714285714285715, 0.35714285714285715, 0.35714285714285715]","['Win', 'Loss', 'Win', 'Loss', 'Win']",12.156,-18.234
8,2,363.52,[ 300 -500],"[0.25, 0.8333333333333334]","['Loss', 'Loss']",0.0,-363.52
35,6,40.37,[115 220 105 105 400 100],"[0.46511627906976744, 0.3125, 0.4878048780487805, 0.4878048780487805, 0.2, 0.5]","['Win', 'Loss', 'Loss', 'Win', 'Loss', 'Loss']",0.0,-40.37
35,4,239.46,[100 500 100 115],"[0.5, 0.16666666666666666, 0.5, 0.46511627906976744]","['Win', 'Win', 'Loss', 'Loss']",0.0,-239.46
33,3,415.56,[105 300 100],"[0.4878048780487805, 0.25, 0.5]","['Loss', 'Win', 'Loss']",0.0,-415.56
5,6,231.1,[220 180 115 115 400 400],"[0.3125, 0.35714285714285715, 0.46511627906976744, 0.46511627906976744, 0.2, 0.2]","['Loss', 'Loss', 'Loss', 'Win', 'Loss', 'Loss']",0.0,-231.1
41,2,83.05,[-450 -105],"[0.8181818181818182, 0.5121951219512195]","['Loss', 'Win']",0.0,-83.05
28,5,492.67,[-400 -450 -450  105 -200],"[0.8, 0.8181818181818182, 0.8181818181818182, 0.4878048780487805, 0.6666666666666666]","['Win', 'Win', 'Win', 'Win', 'Loss']",985.34,492.67
7,3,445.75,[ 105 -105 -400],"[0.4878048780487805, 0.5121951219512195, 0.8]","['Win', 'Win', 'Win']",1002.9375,557.1875
73,4,387.94,[220 220 400 400],"[0.3125, 0.3125, 0.2, 0.2]","['Loss', 'Win', 'Loss', 'Loss']",0.0,-387.94
72,6,211.64,[-200  115 -150  105  180  110],"[0.6666666666666666, 0.46511627906976744, 0.6, 0.4878048780487805, 0.35714285714285715, 0.47619047619047616]","['Win', 'Win', 'Loss', 'Loss', 'Win', 'Win']",84.656,-126.98399999999998
12,6,100.08,[110 100 180 220 400 500],"[0.47619047619047616, 0.5, 0.35714285714285715, 0.3125, 0.2, 0.16666666666666666]","['Win', 'Loss', 'Loss', 'Loss', 'Loss', 'Loss']",0.0,-100.08
34,3,471.29,[-105 -450 -500],"[0.5121951219512195, 0.8181818181818182, 0.8333333333333334]","['Loss', 'Win', 'Win']",589.1125000000001,117.82250000000005
33,2,270.85,[-400 -200],"[0.8, 0.6666666666666666]","['Win', 'Win']",0.0,-270.85
48,4,427.65,[100 500 115 400],"[0.5, 0.16666666666666666, 0.46511627906976744, 0.2]","['Loss', 'Win', 'Loss', 'Loss']",0.0,-427.65
23,3,177.63,[220 180 100],"[0.3125, 0.35714285714285715, 0.5]","['Loss', 'Loss', 'Win']",0.0,-177.63
62,5,174.29,[220 500 100 115 115],"[0.3125, 0.16666666666666666, 0.5, 0.46511627906976744, 0.46511627906976744]","['Loss', 'Loss', 'Win', 'Loss', 'Loss']",0.0,-174.29
88,4,492.91,[ 105  110  220 -120],"[0.4878048780487805, 0.47619047619047616, 0.3125, 0.5454545454545454]","['Loss', 'Win', 'Loss', 'Win']",0.0,-492.91
37,6,265.7,[ 500 -500  110  110 -450  180],"[0.16666666666666666, 0.8333333333333334, 0.47619047619047616, 0.47619047619047616, 0.8181818181818182, 0.35714285714285715]","['Loss', 'Win', 'Win', 'Win', 'Loss', 'Loss']",0.0,-265.7
99,3,78.94,[ 105  500 -105],"[0.4878048780487805, 0.16666666666666666, 0.5121951219512195]","['Loss', 'Loss', 'Win']",0.0,-78.94
44,6,117.64,[ 105  100 -120  300  115  110],"[0.4878048780487805, 0.5, 0.5454545454545454, 0.25, 0.46511627906976744, 0.47619047619047616]","['Loss', 'Loss', 'Loss', 'Loss', 'Win', 'Win']",0.0,-117.64
86,6,246.15,[-450  115 -500  220 -150  100],"[0.8181818181818182, 0.46511627906976744, 0.8333333333333334, 0.3125, 0.6, 0.5]","['Win', 'Win', 'Win', 'Loss', 'Loss', 'Loss']",0.0,-246.15
91,6,30.81,[-150  180  110  220  100 -120],"[0.6, 0.35714285714285715, 0.47619047619047616, 0.3125, 0.5, 0.5454545454545454]","['Win', 'Win', 'Win', 'Loss', 'Win', 'Win']",61.62,30.81
35,2,236.64,[-105 -105],"[0.5121951219512195, 0.5121951219512195]","['Loss', 'Win']",0.0,-236.64
65,6,215.28,[110 500 180 110 110 400],"[0.47619047619047616, 0.16666666666666666, 0.35714285714285715, 0.47619047619047616, 0.47619047619047616, 0.2]","['Loss', 'Loss', 'Loss', 'Loss', 'Win', 'Loss']",0.0,-215.28
99,5,391.87,[-120 -400 -150 -105 -500],"[0.5454545454545454, 0.8, 0.6, 0.5121951219512195, 0.8333333333333334]","['Loss', 'Win', 'Win', 'Win', 'Win']",783.74,391.87
47,5,183.92,[ 500  105 -450  400 -150],"[0.16666666666666666, 0.4878048780487805, 0.8181818181818182, 0.2, 0.6]","['Loss', 'Win', 'Win', 'Loss', 'Win']",73.568,-110.35199999999999
78,4,491.45,[ 105 -120 -105  105],"[0.4878048780487805, 0.5454545454545454, 0.5121951219512195, 0.4878048780487805]","['Loss', 'Loss', 'Loss', 'Win']",0.0,-491.45
3,6,98.58,[ 110  100  300  110 -120 -120],"[0.47619047619047616, 0.5, 0.25, 0.47619047619047616, 0.5454545454545454, 0.5454545454545454]","['Loss', 'Loss', 'Loss', 'Win', 'Loss', 'Loss']",0.0,-98.58
1,6,299.58,[105 500 115 500 110 180],"[0.4878048780487805, 0.16666666666666666, 0.46511627906976744, 0.16666666666666666, 0.47619047619047616, 0.35714285714285715]","['Win', 'Loss', 'Win', 'Loss', 'Win', 'Loss']",0.0,-299.58
5,3,53.95,[ 180  500 -200],"[0.35714285714285715, 0.16666666666666666, 0.6666666666666666]","['Win', 'Win', 'Win']",121.3875,67.4375
90,2,369.59,[400 220],"[0.2, 0.3125]","['Win', 'Loss']",0.0,-369.59
14,4,497.43,[500 220 400 220],"[0.16666666666666666, 0.3125, 0.2, 0.3125]","['Loss', 'Loss', 'Loss', 'Loss']",0.0,-497.43
27,6,411.38,[-200 -400 -105 -450 -450 -150],"[0.6666666666666666, 0.8, 0.5121951219512195, 0.8181818181818182, 0.8181818181818182, 0.6]","['Win', 'Loss', 'Loss', 'Win', 'Win', 'Win']",164.55200000000002,-246.82799999999997
9,3,282.29,[400 115 105],"[0.2, 0.46511627906976744, 0.4878048780487805]","['Win', 'Loss', 'Win']",352.8625,70.57249999999999
79,2,247.52,[-500  400],"[0.8333333333333334, 0.2]","['Win', 'Loss']",0.0,-247.52
15,4,419.16,[-150  110  220  180],"[0.6, 0.47619047619047616, 0.3125, 0.35714285714285715]","['Loss', 'Loss', 'Loss', 'Loss']",0.0,-419.16
90,4,468.63,[300 110 115 500],"[0.25, 0.47619047619047616, 0.46511627906976744, 0.16666666666666666]","['Loss', 'Win', 'Loss', 'Loss']",0.0,-468.63
42,6,494.71,[100 180 400 300 115 300],"[0.5, 0.35714285714285715, 0.2, 0.25, 0.46511627906976744, 0.25]","['Loss', 'Loss', 'Loss', 'Loss', 'Loss', 'Loss']",0.0,-494.71
77,4,204.3,[-500 -400 -200 -200],"[0.8333333333333334, 0.8, 0.6666666666666666, 0.6666666666666666]","['Win', 'Win', 'Loss', 'Win']",306.45000000000005,102.15000000000003
51,3,495.55,[ 400 -500  500],"[0.2, 0.8333333333333334, 0.16666666666666666]","['Loss', 'Loss', 'Loss']",0.0,-495.55
63,4,86.4,[105 100 220 180],"[0.4878048780487805, 0.5, 0.3125, 0.35714285714285715]","['Win', 'Loss', 'Loss', 'Win']",0.0,-86.4
96,5,134.24,[-150  105  180  400  110],"[0.6, 0.4878048780487805, 0.35714285714285715, 0.2, 0.47619047619047616]","['Win', 'Loss', 'Loss', 'Loss', 'Win']",0.0,-134.24
52,3,53.62,[-400  500 -500],"[0.8, 0.16666666666666666, 0.8333333333333334]","['Loss', 'Loss', 'Win']",0.0,-53.62
