Bet_Type,User_ID,Bet_Amount,Odds,Payout,Profit,ROI,Overall_Result,Parlay_Details
Parlay,113,16.95,26.29,0,-16.95,-1,Loss,"[{'Pick_ID': 12, 'User_ID': 113, 'Player_ID': 209, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 344.73, 'Actual_Stat': 315.03, 'Result': 'Loss', 'Single_Odds': 2.53}, {'Pick_ID': 13, 'User_ID': 113, 'Player_ID': 196, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 143.4, 'Actual_Stat': 167.45, 'Result': 'Win', 'Single_Odds': 2.77}, {'Pick_ID': 14, 'User_ID': 113, 'Player_ID': 82, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 372.66, 'Actual_Stat': 375.82, 'Result': 'Win', 'Single_Odds': 2.22}, {'Pick_ID': 15, 'User_ID': 113, 'Player_ID': 79, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Under', 'Projection': 164.89, 'Actual_Stat': 145.32, 'Result': 'Win', 'Single_Odds': 1.69}]"
Single,176,82.46,1.71,141.01,58.55,0.71,Win,"[{'Pick_ID': 16, 'User_ID': 176, 'Player_ID': 125, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 4.94, 'Actual_Stat': 4.49, 'Result': 'Win', 'Single_Odds': 1.71}]"
Single,97,94.74,2.31,218.85,124.11,1.31,Win,"[{'Pick_ID': 17, 'User_ID': 97, 'Player_ID': 28, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Under', 'Projection': 217.44, 'Actual_Stat': 188.25, 'Result': 'Win', 'Single_Odds': 2.31}]"
Single,158,194.4,2.49,0,-194.4,-1,Loss,"[{'Pick_ID': 18, 'User_ID': 158, 'Player_ID': 198, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 134.19, 'Actual_Stat': 126.86, 'Result': 'Loss', 'Single_Odds': 2.49}]"
Parlay,103,26.42,26,0,-26.42,-1,Loss,"[{'Pick_ID': 19, 'User_ID': 103, 'Player_ID': 36, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 2.68, 'Actual_Stat': 2.33, 'Result': 'Loss', 'Single_Odds': 1.74}, {'Pick_ID': 20, 'User_ID': 103, 'Player_ID': 106, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Over', 'Projection': 106.94, 'Actual_Stat': 98.41, 'Result': 'Loss', 'Single_Odds': 1.99}, {'Pick_ID': 21, 'User_ID': 103, 'Player_ID': 245, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 103.35, 'Actual_Stat': 113.44, 'Result': 'Loss', 'Single_Odds': 2.98}, {'Pick_ID': 22, 'User_ID': 103, 'Player_ID': 287, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 2.41, 'Actual_Stat': 2.63, 'Result': 'Win', 'Single_Odds': 2.52}]"
Parlay,17,137.56,4.71,0,-137.56,-1,Loss,"[{'Pick_ID': 23, 'User_ID': 17, 'Player_ID': 244, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 326.96, 'Actual_Stat': 265.16, 'Result': 'Loss', 'Single_Odds': 2.18}, {'Pick_ID': 24, 'User_ID': 17, 'Player_ID': 222, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 4.78, 'Actual_Stat': 4.97, 'Result': 'Loss', 'Single_Odds': 2.16}]"
Single,99,93.91,2.06,0,-93.91,-1,Loss,"[{'Pick_ID': 25, 'User_ID': 99, 'Player_ID': 141, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.49, 'Actual_Stat': 2.96, 'Result': 'Loss', 'Single_Odds': 2.06}]"
Single,128,188.99,2.65,500.82,311.83,1.65,Win,"[{'Pick_ID': 26, 'User_ID': 128, 'Player_ID': 143, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 1.37, 'Actual_Stat': 1.28, 'Result': 'Win', 'Single_Odds': 2.65}]"
Parlay,95,423.82,11.41,0,-423.82,-1,Loss,"[{'Pick_ID': 27, 'User_ID': 95, 'Player_ID': 63, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 253.02, 'Actual_Stat': 284.56, 'Result': 'Win', 'Single_Odds': 1.82}, {'Pick_ID': 28, 'User_ID': 95, 'Player_ID': 288, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 3.35, 'Actual_Stat': 2.83, 'Result': 'Win', 'Single_Odds': 1.93}, {'Pick_ID': 29, 'User_ID': 95, 'Player_ID': 15, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Under', 'Projection': 318.5, 'Actual_Stat': 318.84, 'Result': 'Loss', 'Single_Odds': 1.64}, {'Pick_ID': 30, 'User_ID': 95, 'Player_ID': 145, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 333.71, 'Actual_Stat': 302.78, 'Result': 'Loss', 'Single_Odds': 1.98}]"
Parlay,110,314.39,8.53,2680.58,2366.19,7.526,Win,"[{'Pick_ID': 31, 'User_ID': 110, 'Player_ID': 76, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 3.57, 'Actual_Stat': 3.84, 'Result': 'Win', 'Single_Odds': 2.91}, {'Pick_ID': 32, 'User_ID': 110, 'Player_ID': 60, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.33, 'Actual_Stat': 2.27, 'Result': 'Win', 'Single_Odds': 2.93}]"
Single,139,195.41,1.75,341.97,146.56,0.75,Win,"[{'Pick_ID': 33, 'User_ID': 139, 'Player_ID': 222, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 4.78, 'Actual_Stat': 4.97, 'Result': 'Win', 'Single_Odds': 1.75}]"
Single,51,62.6,1.73,108.3,45.7,0.73,Win,"[{'Pick_ID': 34, 'User_ID': 51, 'Player_ID': 274, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 3.12, 'Actual_Stat': 3.63, 'Result': 'Win', 'Single_Odds': 1.73}]"
Single,170,138.6,2.02,0,-138.6,-1,Loss,"[{'Pick_ID': 35, 'User_ID': 170, 'Player_ID': 181, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Over', 'Projection': 3.24, 'Actual_Stat': 3.17, 'Result': 'Loss', 'Single_Odds': 2.02}]"
Single,4,167.84,2.39,401.14,233.3,1.39,Win,"[{'Pick_ID': 36, 'User_ID': 4, 'Player_ID': 198, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 134.19, 'Actual_Stat': 126.86, 'Result': 'Win', 'Single_Odds': 2.39}]"
Single,6,652.85,2.21,1442.8,789.95,1.21,Win,"[{'Pick_ID': 37, 'User_ID': 6, 'Player_ID': 129, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Over', 'Projection': 182.81, 'Actual_Stat': 183.11, 'Result': 'Win', 'Single_Odds': 2.21}]"
Parlay,14,183.13,23.62,0,-183.13,-1,Loss,"[{'Pick_ID': 38, 'User_ID': 14, 'Player_ID': 289, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 193.06, 'Actual_Stat': 184.2, 'Result': 'Win', 'Single_Odds': 2.25}, {'Pick_ID': 39, 'User_ID': 14, 'Player_ID': 178, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Over', 'Projection': 244.46, 'Actual_Stat': 289.81, 'Result': 'Win', 'Single_Odds': 2.11}, {'Pick_ID': 40, 'User_ID': 14, 'Player_ID': 95, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 2.43, 'Actual_Stat': 2.88, 'Result': 'Loss', 'Single_Odds': 2.91}, {'Pick_ID': 41, 'User_ID': 14, 'Player_ID': 145, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 333.71, 'Actual_Stat': 302.78, 'Result': 'Loss', 'Single_Odds': 1.71}]"
Single,59,126.99,1.66,210.8,83.81,0.66,Win,"[{'Pick_ID': 42, 'User_ID': 59, 'Player_ID': 119, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 279.27, 'Actual_Stat': 317.86, 'Result': 'Win', 'Single_Odds': 1.66}]"
Single,165,41.29,2.45,101.16,59.87,1.45,Win,"[{'Pick_ID': 43, 'User_ID': 165, 'Player_ID': 239, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 1.04, 'Actual_Stat': 1.03, 'Result': 'Win', 'Single_Odds': 2.45}]"
Single,153,96.53,2.87,277.04,180.51,1.87,Win,"[{'Pick_ID': 44, 'User_ID': 153, 'Player_ID': 84, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 251.76, 'Actual_Stat': 276.73, 'Result': 'Win', 'Single_Odds': 2.87}]"
Single,18,156.23,1.63,254.65,98.42,0.63,Win,"[{'Pick_ID': 45, 'User_ID': 18, 'Player_ID': 102, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 3.46, 'Actual_Stat': 3.62, 'Result': 'Win', 'Single_Odds': 1.63}]"
Single,58,115.47,2.68,309.46,193.99,1.68,Win,"[{'Pick_ID': 46, 'User_ID': 58, 'Player_ID': 132, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 1.01, 'Actual_Stat': 0.92, 'Result': 'Win', 'Single_Odds': 2.68}]"
Parlay,28,44.31,3.46,153.18,108.87,2.457,Win,"[{'Pick_ID': 47, 'User_ID': 28, 'Player_ID': 150, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 2.25, 'Actual_Stat': 2.02, 'Result': 'Win', 'Single_Odds': 1.81}, {'Pick_ID': 48, 'User_ID': 28, 'Player_ID': 283, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 3.76, 'Actual_Stat': 4.4, 'Result': 'Win', 'Single_Odds': 1.91}]"
Single,105,51.81,2.62,0,-51.81,-1,Loss,"[{'Pick_ID': 49, 'User_ID': 105, 'Player_ID': 131, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 4.9, 'Actual_Stat': 4.05, 'Result': 'Loss', 'Single_Odds': 2.62}]"
Single,41,134.26,1.87,0,-134.26,-1,Loss,"[{'Pick_ID': 50, 'User_ID': 41, 'Player_ID': 195, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 187.55, 'Actual_Stat': 150.96, 'Result': 'Loss', 'Single_Odds': 1.87}]"
Single,60,95.34,1.68,160.17,64.83,0.68,Win,"[{'Pick_ID': 51, 'User_ID': 60, 'Player_ID': 149, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 4.03, 'Actual_Stat': 3.53, 'Result': 'Win', 'Single_Odds': 1.68}]"
Single,14,130.19,2.14,0,-130.19,-1,Loss,"[{'Pick_ID': 52, 'User_ID': 14, 'Player_ID': 211, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Under', 'Projection': 216.31, 'Actual_Stat': 253.83, 'Result': 'Loss', 'Single_Odds': 2.14}]"
Single,152,35.8,1.93,0,-35.8,-1,Loss,"[{'Pick_ID': 53, 'User_ID': 152, 'Player_ID': 194, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 1.9, 'Actual_Stat': 2.07, 'Result': 'Loss', 'Single_Odds': 1.93}]"
Single,152,65.38,2,130.76,65.38,1,Win,"[{'Pick_ID': 54, 'User_ID': 152, 'Player_ID': 3, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 3.11, 'Actual_Stat': 3.31, 'Result': 'Win', 'Single_Odds': 2.0}]"
Single,100,58.47,1.76,102.91,44.44,0.76,Win,"[{'Pick_ID': 55, 'User_ID': 100, 'Player_ID': 128, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 3.47, 'Actual_Stat': 2.99, 'Result': 'Win', 'Single_Odds': 1.76}]"
Parlay,170,24.39,20.55,0,-24.39,-1,Loss,"[{'Pick_ID': 56, 'User_ID': 170, 'Player_ID': 251, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 58.03, 'Actual_Stat': 68.77, 'Result': 'Loss', 'Single_Odds': 2.68}, {'Pick_ID': 57, 'User_ID': 170, 'Player_ID': 163, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 96.87, 'Actual_Stat': 97.15, 'Result': 'Win', 'Single_Odds': 2.09}, {'Pick_ID': 58, 'User_ID': 170, 'Player_ID': 4, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 3.83, 'Actual_Stat': 4.25, 'Result': 'Loss', 'Single_Odds': 2.05}, {'Pick_ID': 59, 'User_ID': 170, 'Player_ID': 281, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 73.76, 'Actual_Stat': 75.13, 'Result': 'Win', 'Single_Odds': 1.79}]"
Single,25,23.76,1.94,46.09,22.33,0.94,Win,"[{'Pick_ID': 60, 'User_ID': 25, 'Player_ID': 165, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 295.89, 'Actual_Stat': 256.94, 'Result': 'Win', 'Single_Odds': 1.94}]"
Single,55,346.52,2.19,758.88,412.36,1.19,Win,"[{'Pick_ID': 61, 'User_ID': 55, 'Player_ID': 169, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 283.77, 'Actual_Stat': 323.56, 'Result': 'Win', 'Single_Odds': 2.19}]"
Single,170,106.54,2.73,0,-106.54,-1,Loss,"[{'Pick_ID': 62, 'User_ID': 170, 'Player_ID': 295, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 4.19, 'Actual_Stat': 4.74, 'Result': 'Loss', 'Single_Odds': 2.73}]"
Single,15,192.09,2.77,532.09,340,1.77,Win,"[{'Pick_ID': 63, 'User_ID': 15, 'Player_ID': 34, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Under', 'Projection': 166.68, 'Actual_Stat': 166.45, 'Result': 'Win', 'Single_Odds': 2.77}]"
Single,184,116.27,2.48,288.35,172.08,1.48,Win,"[{'Pick_ID': 64, 'User_ID': 184, 'Player_ID': 292, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 4.86, 'Actual_Stat': 5.29, 'Result': 'Win', 'Single_Odds': 2.48}]"
Single,183,31.42,2.9,0,-31.42,-1,Loss,"[{'Pick_ID': 65, 'User_ID': 183, 'Player_ID': 155, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 4.69, 'Actual_Stat': 4.74, 'Result': 'Loss', 'Single_Odds': 2.9}]"
Single,151,160.29,1.78,285.32,125.03,0.78,Win,"[{'Pick_ID': 66, 'User_ID': 151, 'Player_ID': 72, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 273.77, 'Actual_Stat': 226.86, 'Result': 'Win', 'Single_Odds': 1.78}]"
Single,79,132.81,2.79,0,-132.81,-1,Loss,"[{'Pick_ID': 67, 'User_ID': 79, 'Player_ID': 29, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 244.8, 'Actual_Stat': 221.33, 'Result': 'Loss', 'Single_Odds': 2.79}]"
Single,118,120.2,2.05,0,-120.2,-1,Loss,"[{'Pick_ID': 68, 'User_ID': 118, 'Player_ID': 289, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 193.06, 'Actual_Stat': 184.2, 'Result': 'Loss', 'Single_Odds': 2.05}]"
Single,78,55.33,1.98,0,-55.33,-1,Loss,"[{'Pick_ID': 69, 'User_ID': 78, 'Player_ID': 99, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 100.2, 'Actual_Stat': 89.08, 'Result': 'Loss', 'Single_Odds': 1.98}]"
Single,136,199.14,2.12,0,-199.14,-1,Loss,"[{'Pick_ID': 70, 'User_ID': 136, 'Player_ID': 223, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 141.48, 'Actual_Stat': 118.35, 'Result': 'Loss', 'Single_Odds': 2.12}]"
Single,135,124.27,1.74,0,-124.27,-1,Loss,"[{'Pick_ID': 71, 'User_ID': 135, 'Player_ID': 252, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 3.69, 'Actual_Stat': 4.13, 'Result': 'Loss', 'Single_Odds': 1.74}]"
Parlay,175,385.89,25.58,0,-385.89,-1,Loss,"[{'Pick_ID': 72, 'User_ID': 175, 'Player_ID': 267, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 81.06, 'Actual_Stat': 72.86, 'Result': 'Win', 'Single_Odds': 2.52}, {'Pick_ID': 73, 'User_ID': 175, 'Player_ID': 217, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 152.53, 'Actual_Stat': 123.28, 'Result': 'Loss', 'Single_Odds': 2.63}, {'Pick_ID': 74, 'User_ID': 175, 'Player_ID': 172, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 1.24, 'Actual_Stat': 1.38, 'Result': 'Win', 'Single_Odds': 1.93}, {'Pick_ID': 75, 'User_ID': 175, 'Player_ID': 62, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 3.33, 'Actual_Stat': 3.32, 'Result': 'Loss', 'Single_Odds': 2.0}]"
Single,171,31.88,2.63,83.84,51.96,1.63,Win,"[{'Pick_ID': 76, 'User_ID': 171, 'Player_ID': 276, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 97.09, 'Actual_Stat': 102.9, 'Result': 'Win', 'Single_Odds': 2.63}]"
Single,176,166.58,2.2,366.48,199.9,1.2,Win,"[{'Pick_ID': 77, 'User_ID': 176, 'Player_ID': 6, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.36, 'Actual_Stat': 2.35, 'Result': 'Win', 'Single_Odds': 2.2}]"
Single,98,93.99,2.76,0,-93.99,-1,Loss,"[{'Pick_ID': 78, 'User_ID': 98, 'Player_ID': 164, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 385.59, 'Actual_Stat': 369.53, 'Result': 'Loss', 'Single_Odds': 2.76}]"
Single,25,195.07,2.4,468.17,273.1,1.4,Win,"[{'Pick_ID': 79, 'User_ID': 25, 'Player_ID': 234, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Under', 'Projection': 4.46, 'Actual_Stat': 4.02, 'Result': 'Win', 'Single_Odds': 2.4}]"
Parlay,107,16.39,21.85,0,-16.39,-1,Loss,"[{'Pick_ID': 80, 'User_ID': 107, 'Player_ID': 84, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 251.76, 'Actual_Stat': 276.73, 'Result': 'Win', 'Single_Odds': 2.87}, {'Pick_ID': 81, 'User_ID': 107, 'Player_ID': 221, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 4.88, 'Actual_Stat': 5.74, 'Result': 'Win', 'Single_Odds': 1.76}, {'Pick_ID': 82, 'User_ID': 107, 'Player_ID': 155, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Under', 'Projection': 4.69, 'Actual_Stat': 4.74, 'Result': 'Loss', 'Single_Odds': 2.67}, {'Pick_ID': 83, 'User_ID': 107, 'Player_ID': 229, 'Stat_Type': 'Passing Yards', 'User_Pick': 'Over', 'Projection': 368.64, 'Actual_Stat': 300.66, 'Result': 'Loss', 'Single_Odds': 1.62}]"
Single,188,55.07,2.81,0,-55.07,-1,Loss,"[{'Pick_ID': 84, 'User_ID': 188, 'Player_ID': 152, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 106.31, 'Actual_Stat': 95.59, 'Result': 'Loss', 'Single_Odds': 2.81}]"
Parlay,80,50.99,24.86,0,-50.99,-1,Loss,"[{'Pick_ID': 85, 'User_ID': 80, 'Player_ID': 119, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 279.27, 'Actual_Stat': 317.86, 'Result': 'Win', 'Single_Odds': 2.34}, {'Pick_ID': 86, 'User_ID': 80, 'Player_ID': 59, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 1.94, 'Actual_Stat': 2.03, 'Result': 'Win', 'Single_Odds': 1.66}, {'Pick_ID': 87, 'User_ID': 80, 'Player_ID': 285, 'Stat_Type': 'Field Goals Made', 'User_Pick': 'Over', 'Projection': 2.83, 'Actual_Stat': 3.14, 'Result': 'Win', 'Single_Odds': 2.5}, {'Pick_ID': 88, 'User_ID': 80, 'Player_ID': 55, 'Stat_Type': 'Rushing Yards', 'User_Pick': 'Under', 'Projection': 344.58, 'Actual_Stat': 374.72, 'Result': 'Loss', 'Single_Odds': 2.56}]"
Single,68,122.69,2.05,0,-122.69,-1,Loss,"[{'Pick_ID': 89, 'User_ID': 68, 'Player_ID': 234, 'Stat_Type': 'Receiving Touchdowns', 'User_Pick': 'Over', 'Projection': 4.46, 'Actual_Stat': 4.02, 'Result': 'Loss', 'Single_Odds': 2.05}]"
Single,152,70.26,2.07,0,-70.26,-1,Loss,"[{'Pick_ID': 90, 'User_ID': 152, 'Player_ID': 212, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 307.21, 'Actual_Stat': 280.71, 'Result': 'Loss', 'Single_Odds': 2.07}]"
Single,100,172.5,2.75,474.38,301.88,1.75,Win,"[{'Pick_ID': 91, 'User_ID': 100, 'Player_ID': 103, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Under', 'Projection': 2.81, 'Actual_Stat': 2.62, 'Result': 'Win', 'Single_Odds': 2.75}]"
Single,64,101.83,2.72,0,-101.83,-1,Loss,"[{'Pick_ID': 92, 'User_ID': 64, 'Player_ID': 197, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 155.36, 'Actual_Stat': 162.24, 'Result': 'Loss', 'Single_Odds': 2.72}]"
Single,16,72.71,1.63,0,-72.71,-1,Loss,"[{'Pick_ID': 93, 'User_ID': 16, 'Player_ID': 190, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 321.87, 'Actual_Stat': 285.04, 'Result': 'Loss', 'Single_Odds': 1.63}]"
Single,139,123.25,2.49,306.89,183.64,1.49,Win,"[{'Pick_ID': 94, 'User_ID': 139, 'Player_ID': 23, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 4.95, 'Actual_Stat': 4.26, 'Result': 'Win', 'Single_Odds': 2.49}]"
Parlay,75,26.29,38.51,0,-26.29,-1,Loss,"[{'Pick_ID': 95, 'User_ID': 75, 'Player_ID': 171, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 212.4, 'Actual_Stat': 194.94, 'Result': 'Win', 'Single_Odds': 2.36}, {'Pick_ID': 96, 'User_ID': 75, 'Player_ID': 121, 'Stat_Type': 'Passing Touchdowns', 'User_Pick': 'Over', 'Projection': 2.5, 'Actual_Stat': 2.48, 'Result': 'Loss', 'Single_Odds': 2.93}, {'Pick_ID': 97, 'User_ID': 75, 'Player_ID': 208, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Under', 'Projection': 203.13, 'Actual_Stat': 185.73, 'Result': 'Win', 'Single_Odds': 2.21}, {'Pick_ID': 98, 'User_ID': 75, 'Player_ID': 147, 'Stat_Type': 'Receiving Yards', 'User_Pick': 'Over', 'Projection': 167.12, 'Actual_Stat': 162.06, 'Result': 'Loss', 'Single_Odds': 2.52}]"
Single,180,71.46,2.07,147.92,76.46,1.07,Win,"[{'Pick_ID': 99, 'User_ID': 180, 'Player_ID': 207, 'Stat_Type': 'Rushing Touchdowns', 'User_Pick': 'Under', 'Projection': 1.99, 'Actual_Stat': 1.81, 'Result': 'Win', 'Single_Odds': 2.07}]"
